Date,mean_daily_streamflow
1/26/2014,2309977.44
1/27/2014,2174840.064
1/28/2014,2112241.536
1/29/2014,3497009.405
1/30/2014,4731337.44
1/31/2014,3782164.32
2/1/2014,3000447.36
2/2/2014,2583769.536
2/3/2014,2304013.248
2/4/2014,2071945.008
2/5/2014,1821448.944
2/6/2014,0
2/7/2014,1718069.616
2/8/2014,1589304.24
2/9/2014,1623509.136
2/10/2014,1836104.544
2/11/2014,3900683.52
2/12/2014,6007011.84
2/13/2014,5060387.52
2/14/2014,4520296.8
2/15/2014,5555364.48
2/16/2014,6485421.6
2/17/2014,5789854.08
2/18/2014,5856632.64
2/19/2014,5842104.48
2/20/2014,4463968.32
2/21/2014,3945542.4
2/22/2014,3328223.04
2/23/2014,3152865.6
2/24/2014,3435272.64
2/25/2014,4591408.32
2/26/2014,4440264.48
2/27/2014,4248594.72
2/28/2014,4184364.96
3/1/2014,3919034.88
3/2/2014,5805911.52
3/3/2014,15901708.32
3/4/2014,16875859.68
3/5/2014,24374429.28
3/6/2014,32837974.56
3/7/2014,23531286.24
3/8/2014,11917424.16
3/9/2014,31018851.67
3/10/2014,16478501.76
3/11/2014,10609125.12
3/12/2014,7932120.48
3/13/2014,6592726.08
3/14/2014,10833419.52
3/15/2014,8678664
3/16/2014,26302341.6
3/17/2014,13816280.16
3/18/2014,8584358.4
3/19/2014,9337273.92
3/20/2014,8705426.4
3/21/2014,6903934.56
3/22/2014,4654618.56
3/23/2014,2639435.328
3/24/2014,4791234.24
3/25/2014,4854189.6
3/26/2014,6485166.72
3/27/2014,6313887.36
3/28/2014,6231561.12
3/29/2014,10449825.12
3/30/2014,12179185.92
3/31/2014,8618257.44
4/1/2014,6373784.16
4/2/2014,5083326.72
4/3/2014,4498122.24
4/4/2014,4637286.72
4/5/2014,4892166.72
4/6/2014,7882928.64
4/7/2014,6067418.4
4/8/2014,6376842.72
4/9/2014,8736266.88
4/10/2014,5930292.96
4/11/2014,4938300
4/12/2014,4442813.28
4/13/2014,4114782.72
4/14/2014,3901193.28
4/15/2014,3885135.84
4/16/2014,5453667.36
4/17/2014,13012898.4
4/18/2014,13211704.8
4/19/2014,7783015.68
4/20/2014,11667132
4/21/2014,7842402.72
4/22/2014,7798308.48
4/23/2014,7803406.08
4/24/2014,11300869.44
4/25/2014,9267436.8
4/26/2014,7089232.32
4/27/2014,6736988.16
4/28/2014,6803256.96
4/29/2014,5757994.08
4/30/2014,5439394.08
5/1/2014,6034538.88
5/2/2014,6846841.44
5/3/2014,7638753.6
5/4/2014,13072030.56
5/5/2014,17981529.12
5/6/2014,9944652.96
5/7/2014,7528390.56
5/8/2014,6612861.6
5/9/2014,17098624.8
5/10/2014,12512823.84
5/11/2014,8517579.84
5/12/2014,7071900.48
5/13/2014,6510399.84
5/14/2014,6530535.36
5/15/2014,6820079.04
5/16/2014,6527986.56
5/17/2014,5663178.72
5/18/2014,5108559.84
5/19/2014,6095964.96
5/20/2014,4901597.28
5/21/2014,4446126.72
5/22/2014,4247830.08
5/23/2014,5127930.72
5/24/2014,6166821.6
5/25/2014,4583761.92
5/26/2014,5045604.48
5/27/2014,4814683.2
5/28/2014,3985558.56
5/29/2014,4068139.68
5/30/2014,3776811.84
5/31/2014,3505364.64
6/1/2014,3469936.32
6/2/2014,3420489.6
6/3/2014,3468916.8
6/4/2014,3261444.48
6/5/2014,3031542.72
6/6/2014,2812600.8
6/7/2014,2688474.24
6/8/2014,2604108.96
6/9/2014,2609971.2
6/10/2014,2517067.44
6/11/2014,2257854.48
6/12/2014,2225433.744
6/13/2014,3223110.528
6/14/2014,3059579.52
6/15/2014,2608441.92
6/16/2014,3170452.32
6/17/2014,2989487.52
6/18/2014,2547270.72
6/19/2014,2363374.8
6/20/2014,2596615.488
6/21/2014,2370231.072
6/22/2014,2139029.424
6/23/2014,2127355.92
6/24/2014,2172801.024
6/25/2014,2040467.328
6/26/2014,2001037.392
6/27/2014,2045462.976
6/28/2014,3386845.44
6/29/2014,4806781.92
6/30/2014,3241818.72
7/1/2014,2549615.616
7/2/2014,2390825.376
7/3/2014,2269782.864
7/4/2014,2006185.968
7/5/2014,1872093.6
7/6/2014,1799886.096
7/7/2014,1797617.664
7/8/2014,1792188.72
7/9/2014,1742996.88
7/10/2014,1659370.752
7/11/2014,1559483.28
7/12/2014,1544827.68
7/13/2014,1530452.448
7/14/2014,1516051.728
7/15/2014,1485466.128
7/16/2014,1418636.592
7/17/2014,1329759.936
7/18/2014,1258750.368
7/19/2014,1236881.664
7/20/2014,1417311.216
7/21/2014,1293465.024
7/22/2014,1178769.024
7/23/2014,1383718.032
7/24/2014,3568294.512
7/25/2014,2729331.504
7/26/2014,1787855.76
7/27/2014,1478074.608
7/28/2014,1326573.936
7/29/2014,1253703.744
7/30/2014,1198343.808
7/31/2014,1138956.768
8/1/2014,1094454.72
8/2/2014,1073121.264
8/3/2014,1042535.664
8/4/2014,1005960.384
8/5/2014,962477.856
8/6/2014,927508.32
8/7/2014,899344.08
8/8/2014,860857.2
8/9/2014,824740.704
8/10/2014,801801.504
8/11/2014,788394.816
8/12/2014,795811.824
8/13/2014,1395187.632
8/14/2014,1292623.92
8/15/2014,1072076.256
8/16/2014,984168.144
8/17/2014,919020.816
8/18/2014,868758.48
8/19/2014,840160.944
8/20/2014,808173.504
8/21/2014,778913.28
8/22/2014,753425.28
8/23/2014,728548.992
8/24/2014,707954.688
8/25/2014,709585.92
8/26/2014,686595.744
8/27/2014,672806.736
8/28/2014,666562.176
8/29/2014,662484.096
8/30/2014,724980.672
8/31/2014,811002.672
9/1/2014,738234.432
9/2/2014,712313.136
9/3/2014,2015642.016
9/4/2014,1237442.4
9/5/2014,950141.664
9/6/2014,829583.424
9/7/2014,763926.336
9/8/2014,723859.2
9/9/2014,694598.976
9/10/2014,673189.056
9/11/2014,644897.376
9/12/2014,618491.808
9/13/2014,598432.752
9/14/2014,581279.328
9/15/2014,567158.976
9/16/2014,556963.776
9/17/2014,559002.816
9/18/2014,648720.576
9/19/2014,980395.92
9/20/2014,918434.592
9/21/2014,718761.6
9/22/2014,655169.04
9/23/2014,645050.304
9/24/2014,2553693.696
9/25/2014,2078164.08
9/26/2014,2313698.688
9/27/2014,3398952.24
9/28/2014,1887921.648
9/29/2014,1410862.752
9/30/2014,2492344.08
10/1/2014,2344105.872
10/2/2014,1713303.36
10/3/2014,1375357.968
10/4/2014,1208870.352
10/5/2014,1117113.552
10/6/2014,1037055.744
10/7/2014,973335.744
10/8/2014,923889.024
10/9/2014,876736.224
10/10/2014,831265.632
10/11/2014,1050487.92
10/12/2014,2009856.24
10/13/2014,1587545.568
10/14/2014,8153024.976
10/15/2014,5736584.16
10/16/2014,9758845.44
10/17/2014,4014360
10/18/2014,4688517.6
10/19/2014,3557869.92
10/20/2014,3701877.12
10/21/2014,7407832.32
10/22/2014,13398022.08
10/23/2014,17629030.08
10/24/2014,8931250.08
10/25/2014,6261127.2
10/26/2014,16210622.88
10/27/2014,9947711.52
10/28/2014,7055078.4
10/29/2014,11560082.4
10/30/2014,8281560.96
10/31/2014,15614713.44
11/1/2014,10787796
11/2/2014,6925558.579
11/3/2014,10006079.04
11/4/2014,39420505.44
11/5/2014,14695106.4
11/6/2014,14460616.8
11/7/2014,14173367.04
11/8/2014,8885116.8
11/9/2014,7554388.32
11/10/2014,6319749.6
11/11/2014,4822839.36
11/12/2014,3987852.48
11/13/2014,3478857.12
11/14/2014,3075636.96
11/15/2014,2749135.68
11/16/2014,2527797.888
11/17/2014,2365413.84
11/18/2014,2233487.952
11/19/2014,2120729.04
11/20/2014,2049209.712
11/21/2014,4730470.848
11/22/2014,11822863.68
11/23/2014,12272472
11/24/2014,9485359.2
11/25/2014,22486278.24
11/26/2014,40036040.64
11/27/2014,20270096.64
11/28/2014,36303832.8
11/29/2014,16521066.72
11/30/2014,9701208.576
12/1/2014,6925854.24
12/2/2014,5368537.44
12/3/2014,4526159.04
12/4/2014,4009517.28
12/5/2014,5137616.16
12/6/2014,7326780.48
12/7/2014,7711139.52
12/8/2014,5228353.44
12/9/2014,10108795.68
12/10/2014,11135707.2
12/11/2014,13095734.4
12/12/2014,10550247.84
12/13/2014,7865087.04
12/14/2014,5755700.16
12/15/2014,4688007.84
12/16/2014,3980206.08
12/17/2014,3540028.32
12/18/2014,3655488.96
12/19/2014,7498059.84
12/20/2014,7552349.28
12/21/2014,19461872.16
12/22/2014,9265397.76
12/23/2014,8079441.12
12/24/2014,11815727.04
12/25/2014,7657359.84
12/26/2014,5686372.8
12/27/2014,6108454.08
12/28/2014,6943440.96
12/29/2014,4936515.84
12/30/2014,3910114.08
12/31/2014,3426606.72
1/1/2015,3116162.88
1/2/2015,2916336.96
1/3/2015,2741744.16
1/4/2015,3177588.96
1/5/2015,46743717.6
1/6/2015,18710485.92
1/7/2015,10298936.16
1/8/2015,7446574.08
1/9/2015,5919588
1/10/2015,5001000.48
1/11/2015,4364055.36
1/12/2015,3839512.32
1/13/2015,3416921.28
1/14/2015,3092204.16
1/15/2015,2854910.88
1/16/2015,5136341.76
1/17/2015,4533295.68
1/18/2015,15408770.4
1/19/2015,11345728.32
1/20/2015,7475375.52
1/21/2015,5306601.6
1/22/2015,4376289.6
1/23/2015,8687584.8
1/24/2015,16972714.08
1/25/2015,9650521.44
1/26/2015,6264185.76
1/27/2015,4821819.84
1/28/2015,4016399.04
1/29/2015,3456937.44
1/30/2015,3053972.16
1/31/2015,2746077.12
2/1/2015,2597227.2
2/2/2015,2840127.84
2/3/2015,4390053.12
2/4/2015,3220663.68
2/5/2015,9478222.56
2/6/2015,29724615.36
2/7/2015,24435855.36
2/8/2015,22321116
2/9/2015,11350825.92
2/10/2015,10434277.44
2/11/2015,7775624.16
2/12/2015,5591812.32
2/13/2015,4533295.68
2/14/2015,4063042.08
2/15/2015,3513775.68
2/16/2015,3109281.12
2/17/2015,2796543.36
2/18/2015,2564602.56
2/19/2015,2493414.576
2/20/2015,2604108.96
2/21/2015,2353561.92
2/22/2015,2139131.376
2/23/2015,2005599.744
2/24/2015,1902169.44
2/25/2015,1844515.584
2/26/2015,1821219.552
2/27/2015,1904565.312
2/28/2015,1875101.184
3/1/2015,1690160.256
3/2/2015,1608522.192
3/3/2015,1528234.992
3/4/2015,1461634.848
3/5/2015,1416699.504
3/6/2015,1378340.064
3/7/2015,1348213.248
3/8/2015,1311031.797
3/9/2015,1277407.584
3/10/2015,1245827.952
3/11/2015,1302946.56
3/12/2015,2131102.656
3/13/2015,1772231.616
3/14/2015,11302245.79
3/15/2015,11377843.2
3/16/2015,11660505.12
3/17/2015,6030970.56
3/18/2015,4595996.16
3/19/2015,3529068.48
3/20/2015,4209598.08
3/21/2015,7484296.32
3/22/2015,8856570.24
3/23/2015,5796735.84
3/24/2015,5183749.44
3/25/2015,7318624.32
3/26/2015,10845908.64
3/27/2015,5899197.6
3/28/2015,10818636.48
3/29/2015,7359150.24
3/30/2015,5231157.12
3/31/2015,5937939.36
4/1/2015,5664708
4/2/2015,5172024.96
4/3/2015,4287591.36
4/4/2015,3922093.44
4/5/2015,3409784.64
4/6/2015,2951510.4
4/7/2015,2639282.4
4/8/2015,2432039.472
4/9/2015,2299348.944
4/10/2015,2205909.936
4/11/2015,4561306.992
4/12/2015,3275462.88
4/13/2015,2950490.88
4/14/2015,3648607.2
4/15/2015,3310381.44
4/16/2015,2856185.28
4/17/2015,2720079.36
4/18/2015,2655339.84
4/19/2015,2440960.272
4/20/2015,2328966
4/21/2015,2217889.296
4/22/2015,2153430.144
4/23/2015,2067637.536
4/24/2015,2246894.64
4/25/2015,3396276
4/26/2015,3102654.24
4/27/2015,2857714.56
4/28/2015,3291520.32
4/29/2015,2902063.68
4/30/2015,2636478.72
5/1/2015,2347725.168
5/2/2015,2126489.328
5/3/2015,1937444.832
5/4/2015,1812910.464
5/5/2015,2060730.288
5/6/2015,2324454.624
5/7/2015,1928829.888
5/8/2015,1751815.728
5/9/2015,1635947.28
5/10/2015,1563179.04
5/11/2015,1522092.384
5/12/2015,1486562.112
5/13/2015,1514038.176
5/14/2015,1600315.056
5/15/2015,1542533.76
5/16/2015,1439715.168
5/17/2015,1388050.992
5/18/2015,1365035.328
5/19/2015,1352036.448
5/20/2015,1313498.592
5/21/2015,1287194.976
5/22/2015,1295911.872
5/23/2015,1254748.752
5/24/2015,1220059.584
5/25/2015,1196840.016
5/26/2015,1173926.304
5/27/2015,1130928.048
5/28/2015,1090249.2
5/29/2015,1061651.664
5/30/2015,1049162.544
5/31/2015,1016792.784
6/1/2015,987863.904
6/2/2015,1092721.536
6/3/2015,1367482.176
6/4/2015,1239583.392
6/5/2015,1089688.464
6/6/2015,1006342.704
6/7/2015,960413.328
6/8/2015,919428.624
6/9/2015,886905.936
6/10/2015,855657.648
6/11/2015,823823.136
6/12/2015,797697.936
6/13/2015,780952.32
6/14/2015,753935.04
6/15/2015,729262.656
6/16/2015,710299.584
6/17/2015,699900.48
6/18/2015,687462.336
6/19/2015,691744.32
6/20/2015,690444.432
6/21/2015,664421.184
6/22/2015,641660.4
6/23/2015,629145.792
6/24/2015,617038.992
6/25/2015,609265.152
6/26/2015,604167.552
6/27/2015,610998.336
6/28/2015,609392.592
6/29/2015,626138.208
6/30/2015,636409.872
7/1/2015,605645.856
7/2/2015,593335.152
7/3/2015,588008.16
7/4/2015,575620.992
7/5/2015,564712.128
7/6/2015,557244.144
7/7/2015,551228.976
7/8/2015,541416.096
7/9/2015,538230.096
7/10/2015,533718.72
7/11/2015,535630.32
7/12/2015,538281.072
7/13/2015,532265.904
7/14/2015,515749.68
7/15/2015,497245.392
7/16/2015,487458
7/17/2015,488604.96
7/18/2015,479964.528
7/19/2015,477441.216
7/20/2015,478358.784
7/21/2015,473770.944
7/22/2015,461230.848
7/23/2015,449226
7/24/2015,446090.976
7/25/2015,500507.856
7/26/2015,608220.144
7/27/2015,655270.992
7/28/2015,564533.712
7/29/2015,511008.912
7/30/2015,484552.368
7/31/2015,468724.32
8/1/2015,459930.96
8/2/2015,449914.176
8/3/2015,440356.176
8/4/2015,434366.496
8/5/2015,427994.496
8/6/2015,434086.128
8/7/2015,429906.096
8/8/2015,422922.384
8/9/2015,418334.544
8/10/2015,417467.952
8/11/2015,412650.72
8/12/2015,411325.344
8/13/2015,414740.736
8/14/2015,431307.936
8/15/2015,836414.208
8/16/2015,689577.84
8/17/2015,524109.744
8/18/2015,473312.16
8/19/2015,451519.92
8/20/2015,441426.672
8/21/2015,435921.264
8/22/2015,426031.92
8/23/2015,417391.488
8/24/2015,406610.064
8/25/2015,399983.184
8/26/2015,398071.584
8/27/2015,393611.184
8/28/2015,392973.984
8/29/2015,528111.36
8/30/2015,2730988.224
8/31/2015,2733944.832
9/1/2015,5629024.8
9/2/2015,4918929.12
9/3/2015,3220408.8
9/4/2015,2759993.568
9/5/2015,1921158
9/6/2015,1755791.856
9/7/2015,1602685.44
9/8/2015,1316863.008
9/9/2015,1234205.424
9/10/2015,1085355.504
9/11/2015,973794.528
9/12/2015,889607.664
9/13/2015,823236.912
9/14/2015,769635.648
9/15/2015,984754.368
9/16/2015,970379.136
9/17/2015,818878.464
9/18/2015,935180.208
9/19/2015,898477.488
9/20/2015,2103397.2
9/21/2015,6116865.12
9/22/2015,1999584.576
9/23/2015,1472798.592
9/24/2015,1268384.832
9/25/2015,1140409.584
9/26/2015,1089917.856
9/27/2015,1003539.024
9/28/2015,913617.36
9/29/2015,841282.416
9/30/2015,779652.432
